IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300027212,Aquatic,Marine,452876,70935,12859,76478,27.88878959
3300020154,Terrestrial,Soil,433396,31842,36242,48272,27.83679206
3300001547,Aquatic,Freshwater,441090,5254,472,5506,27.74887527
3300024325,Terrestrial,Soil,479028,19661,2903,21790,27.73782195
3300010309,Aquatic,Marine,435866,71601,13959,76596,27.7196803
3300006854,Host-associated,Plants,456208,16956,2384,18867,27.71882943
3300026222,Terrestrial,Soil,440170,23693,19058,38657,27.65319739
3300027236,Aquatic,Marine,436054,91928,12347,97886,27.62555386
3300018062,Terrestrial,Soil,476404,3633,623,3946,27.61575632
3300014968,Host-associated,Plants,473393,26022,6673,30961,27.58807532
3300023040,Host-associated,Mammals,468509,37275,10656,44611,27.57662133
3300023047,Host-associated,Mammals,475827,54669,18460,60708,27.56789862
3300027240,Aquatic,Marine,448015,88210,11241,93248,27.53910791
3300027237,Aquatic,Marine,450587,96194,13249,102517,27.51296076
3300026131,Terrestrial,Soil,429311,15660,1933,17266,27.46731031
3300027258,Aquatic,Marine,458292,96607,11790,102516,27.44898299
3300012513,Host-associated,Plants,480235,19161,21187,33433,27.43696463
3300027210,Aquatic,Marine,455247,87222,12554,92453,27.42443122
3300026893,Terrestrial,Soil,473222,19858,7133,24256,27.40088056
3300025906,Terrestrial,Soil,414894,10267,5677,14957,27.39790436
3300027682,Host-associated,Plants,422627,12757,9648,20337,27.36582677
3300012906,Terrestrial,Soil,482721,10473,4312,13939,27.30602627
3300017821,Aquatic,Freshwater,436415,21301,1048,22033,27.30317734
3300006880,Host-associated,Plants,469256,28212,2958,30662,27.27874731
3300027360,Host-associated,Plants,126941,6074,3094,8490,27.2449964
3300021373,Aquatic,Marine,437189,48625,13674,56145,27.21668617
3300024179,Terrestrial,Soil,484490,18860,1946,20257,27.12413483
3300026173,Terrestrial,Soil,446923,77284,17209,90424,27.11336979
3300027617,Host-associated,Plants,150382,9220,4453,12539,27.04792235
3300027234,Aquatic,Marine,444910,148332,40973,160004,26.94798108
3300027955,Aquatic,Freshwater,236967,6890,2094,8679,26.90981443
3300017936,Aquatic,Freshwater,458121,4466,1099,5237,26.89090933
3300026274,Terrestrial,Soil,434824,20365,27882,43386,26.87983645
3300027259,Aquatic,Marine,455203,87269,10740,92284,26.8757912
3300026215,Terrestrial,Soil,471325,13667,3021,16064,26.83173481
3300026221,Terrestrial,Soil,443061,43054,18614,56835,26.81209066
3300006852,Host-associated,Plants,455492,18401,2554,20429,26.77177139
3300025463,Aquatic,Freshwater,464613,8751,2830,10639,26.74010458
3300027204,Aquatic,Marine,456895,48437,16480,59290,26.70244418
3300027261,Aquatic,Marine,459778,87717,12411,94022,26.69964186
3300014168,Aquatic,Freshwater,478042,10541,1649,11584,26.58120939
3300025990,Terrestrial,Soil,447382,5901,5895,11329,26.56683216
3300012989,Terrestrial,Soil,461264,9771,9351,17138,26.52373592
3300027195,Aquatic,Marine,461961,50706,9247,54030,26.46565954
3300025252,Aquatic,Marine,208317,51295,31343,58214,26.45148244
3300026217,Terrestrial,Soil,474377,17582,3078,19877,26.44864491
3300026127,Terrestrial,Soil,470665,20422,923,21035,26.38839888
3300010036,Terrestrial,Soil,458033,8736,5586,13721,26.33394618
3300025181,Aquatic,Marine,328063,87112,53413,93429,26.29665716
3300012915,Terrestrial,Soil,484006,10066,7047,15865,26.26871204
3300027263,Aquatic,Marine,451598,93393,11756,99278,26.26575865
3300023063,Terrestrial,Plant litter,459789,1988,3742,4396,26.255856
3300005332,Terrestrial,Soil,457281,4053,7616,11530,26.22789452
3300026180,Terrestrial,Soil,461412,58245,13630,68892,26.16894177
3300012988,Terrestrial,Soil,464527,13867,19802,27760,26.15623874
3300027248,Aquatic,Marine,450855,91423,22922,97059,26.15019252
3300020147,Terrestrial,Soil,439014,36536,33455,41315,26.107119
3300027961,Terrestrial,Soil,475678,40015,415,40259,26.07498335
3300012046,Aquatic,Freshwater,425774,6803,4835,10005,26.06157747
3300026216,Terrestrial,Soil,470302,44209,27408,64141,25.99988764
3300027214,Aquatic,Marine,447134,141586,19597,150010,25.90714461
3300006904,Host-associated,Plants,472502,18955,2673,21060,25.90457352
3300027253,Aquatic,Marine,446732,148728,40372,158321,25.88426132
3300009147,Host-associated,Plants,463486,27295,2839,29598,25.86787472
3300027223,Aquatic,Marine,456766,130885,16265,137860,25.86014476
3300027775,Terrestrial,Soil,464417,6573,11955,17376,25.85757463
3300027010,Terrestrial,Soil,206898,9024,362,9236,25.81687921
3300017948,Aquatic,Freshwater,479748,12479,779,12909,25.78213063
3300027216,Aquatic,Marine,460269,93320,14426,99395,25.76667683
3300023046,Terrestrial,Soil,476011,6826,5476,11067,25.76210377
3300027211,Aquatic,Marine,445133,141736,19223,149879,25.75321549
3300018090,Terrestrial,Soil,474155,5673,618,6020,25.74741916
3300025784,Engineered,Wastewater,484145,184771,43248,199434,25.73707536
3300005985,Host-associated,Plants,378754,2650,4605,5976,25.73582753
3300009762,Aquatic,Freshwater,455229,85611,1011,86185,25.73130396
3300025188,Aquatic,Marine,267673,89599,58247,98348,25.69478461
3300010371,Terrestrial,Soil,458450,24903,11176,32542,25.67518466
3300025182,Aquatic,Marine,368699,101280,65789,109496,25.67371914
3300027229,Aquatic,Marine,463745,135827,18250,143102,25.66416611
3300016422,Terrestrial,Soil,440547,8295,3016,10815,25.65200138
3300014494,Terrestrial,Soil,474669,28934,225,29028,25.59852909
3300026271,Terrestrial,Soil,466575,83335,4022,86066,25.57667418
3300027304,Aquatic,Marine,446775,127433,16263,135370,25.5604451
3300024181,Terrestrial,Soil,478330,10115,3599,12826,25.530482
3300026125,Aquatic,Non-marine Saline and Alkaline,464183,53485,5481,56989,25.50103015
3300012509,Terrestrial,Soil,480736,13669,3252,16043,25.49563422
3300027159,Aquatic,Marine,247883,29846,8337,32727,25.45692788
3300025210,Aquatic,Marine,388124,157245,54432,170543,25.42839653
3300027297,Terrestrial,Soil,279551,5802,1596,7058,25.42634138
3300027169,Terrestrial,Soil,458794,24675,29390,53638,25.38252192
3300027231,Aquatic,Marine,447018,161151,30489,170216,25.3495606
3300010354,Aquatic,Marine,461642,34565,5093,35994,25.33732079
3300021388,Host-associated,Plants,450829,1322,1534,2361,25.29174915
3300006871,Host-associated,Plants,466969,18034,2843,20341,25.28075126
3300023033,Host-associated,Mammals,479141,31823,3065,32905,25.26990173
3300020173,Aquatic,Marine,431532,115919,9860,120105,25.26038761
3300014502,Terrestrial,Soil,462949,20031,583,20350,25.2497426
3300020074,Aquatic,Freshwater,453230,93390,3430,95271,25.23735183
3300017416,Aquatic,Freshwater,471301,4808,7688,10805,25.2358706
3300027224,Aquatic,Marine,460099,144918,19136,153095,25.21470323
3300027217,Aquatic,Marine,459552,123419,14717,130666,25.19285998
3300025255,Aquatic,Marine,389413,173395,88659,191257,25.18680482
3300012943,Terrestrial,Soil,436412,7232,15868,19002,25.17682258
3300021364,Aquatic,Marine,443445,43121,23445,58239,25.1719989
3300017937,Aquatic,Freshwater,454424,6729,3765,9813,25.16836163
3300027778,Aquatic,Freshwater,448143,6706,4198,9916,25.15496644
3300027241,Aquatic,Marine,437991,146474,25661,155631,25.15453396
3300027226,Aquatic,Marine,416070,69923,22929,76573,25.09690188
3300025176,Aquatic,Marine,344959,82964,61737,90227,25.08696838
3300017972,Terrestrial,Soil,480202,2620,1176,3411,25.05520055
3300027250,Aquatic,Marine,442594,153329,47350,170208,25.03039629
3300026164,Terrestrial,Soil,429169,74496,14519,85311,25.01641837
3300027081,Aquatic,Marine,454351,82842,31130,91624,24.98653271
3300023032,Host-associated,Mammals,480250,37016,3791,39062,24.96137003
3300009764,Aquatic,Freshwater,466136,83949,1625,84410,24.9503432
3300018012,Aquatic,Freshwater,459377,7956,638,8375,24.89115975
3300027246,Aquatic,Marine,451460,146533,19342,154304,24.8781805
3300027819,Aquatic,Freshwater,286331,27190,3010,28954,24.86425172
3300012986,Terrestrial,Soil,460020,11631,11277,19758,24.84257577
3300010043,Terrestrial,Soil,457645,4650,3021,7171,24.8344098
3300026275,Terrestrial,Soil,453488,67039,35692,94417,24.80120438
3300027215,Aquatic,Marine,464360,81311,12441,86295,24.76593885
3300027242,Aquatic,Marine,452399,143172,19626,152556,24.71216999
3300025697,Aquatic,Non-marine Saline and Alkaline,458002,32928,1509,34341,24.68304179
3300027845,Aquatic,Marine,469567,13581,4629,17092,24.67679094
3300020181,Terrestrial,Soil,401807,1928,14244,14973,24.6599019
3300021067,Terrestrial,Soil,448357,4636,1912,6171,24.64141761
3300027232,Aquatic,Marine,418213,151266,33886,160740,24.6186796
3300025178,Aquatic,Marine,360742,79817,48115,87043,24.58227798
3300010401,Terrestrial,Soil,462130,13684,2982,15994,24.56603161
3300026187,Aquatic,Non-marine Saline and Alkaline,455503,39466,7651,43959,24.54741539
3300025736,Aquatic,Non-marine Saline and Alkaline,456325,18618,1814,19953,24.54372516
3300027244,Aquatic,Marine,459102,155600,19901,163582,24.53949072
3300027610,Terrestrial,Soil,235270,4879,2265,6719,24.49916159
3300027777,Aquatic,Freshwater,454722,65803,3941,68375,24.49411582
3300012909,Terrestrial,Soil,465183,7803,8857,15078,24.48974161
3300012883,Terrestrial,Soil,488470,9613,6708,14912,24.4443739
3300020174,Aquatic,Marine,425768,111508,10584,116459,24.44021189
3300027247,Aquatic,Marine,447253,152804,20434,161212,24.43191112
3300020191,Aquatic,Marine,435133,116260,11811,121899,24.39164785
3300026886,Terrestrial,Soil,472450,10950,8161,17630,24.33619289
3300008749,Host-associated,Human,66200,56295,56456,60339,24.33494235
3300027853,Terrestrial,Soil,464869,11332,3611,14561,24.33133204
3300027555,Aquatic,Marine,385079,4414,1318,5261,24.31006329
3300027725,Terrestrial,Soil,469035,10356,11911,21283,24.30862666
3300025507,Aquatic,Freshwater,459929,126293,20753,145616,24.28614309
3300020188,Aquatic,Marine,440554,153162,11421,156744,24.27844691
3300027255,Aquatic,Marine,441496,157499,39012,166192,24.27594907
3300027639,Terrestrial,Soil,467680,5763,7656,13064,24.26844641
3300012952,Aquatic,Marine,447967,14579,11731,18491,24.25926672
3300027886,Terrestrial,Soil,465652,3151,6643,9140,24.25519476
3300010040,Terrestrial,Soil,450060,5798,3060,8392,24.23773746
3300014160,Aquatic,Freshwater,476946,22201,2323,24204,24.23124241
3300026982,Terrestrial,Soil,86830,7062,879,7771,24.22147635
3300018034,Aquatic,Freshwater,479318,18647,813,19070,24.20055347
3300021374,Terrestrial,Rock-dwelling (subaerial biofilms),456165,2548,1654,3716,24.18171817
3300025175,Aquatic,Marine,362905,104490,63283,110872,24.18101801
3300018035,Aquatic,Freshwater,471853,43973,894,44349,24.17890027
3300021425,Aquatic,Marine,442652,43248,15319,54477,24.16030795
3300010167,Host-associated,Arthropoda,468973,12427,2899,14988,24.15518511
3300027880,Host-associated,Plants,472674,27775,3417,30684,24.14546652
3300027084,Aquatic,Marine,452171,146419,19809,155785,24.14400975
3300017682,Host-associated,Plants,449989,16729,54213,59644,24.13771274
3300027759,Aquatic,Freshwater,460069,68915,9128,75574,24.13035737
3300025810,Aquatic,Marine,466354,45257,10097,49454,24.12842919
3300027218,Aquatic,Marine,464020,96750,14486,102865,24.10774975
3300018046,Aquatic,Freshwater,479232,25044,924,25536,24.07350625
3300027906,Aquatic,Marine,430993,18782,15898,23573,24.03054995
3300014203,Aquatic,Freshwater,470266,50462,21510,63892,24.00907969
3300012956,Engineered,Wastewater,455536,59973,10761,64761,24.0077109
3300027716,Aquatic,Freshwater,461948,6288,3881,9375,23.99664697
3300025186,Aquatic,Marine,299722,85680,42546,93203,23.99255283
3300026165,Terrestrial,Soil,461764,99448,12862,109326,23.99070121
3300010044,Terrestrial,Soil,459865,4968,3794,8206,23.97022014
3300017934,Aquatic,Freshwater,459186,7457,1379,8643,23.95046853
3300009790,Aquatic,Marine,439574,22824,17423,27602,23.94144723
3300027233,Aquatic,Marine,415112,142889,40006,153868,23.89917239
3300027821,Terrestrial,Soil,426440,7414,3020,9948,23.87103816
3300025221,Aquatic,Marine,389656,142020,42874,150011,23.86635451
3300027843,Aquatic,Freshwater,449910,16770,4264,19959,23.8520315
3300027840,Aquatic,Freshwater,449755,15049,4412,18398,23.84368955
3300026889,Terrestrial,Soil,150627,7254,322,7463,23.81397587
3300027667,Terrestrial,Soil,201787,3567,1244,4539,23.81334791
3300027712,Aquatic,Freshwater,457271,54037,4560,57147,23.80450962
3300010048,Terrestrial,Soil,459238,3262,2363,5213,23.77781232
3300020109,Aquatic,Freshwater,450813,107212,5593,110153,23.77048926
3300027727,Terrestrial,Soil,325615,6907,3677,9783,23.76631546
3300026294,Terrestrial,Soil,460769,20912,3068,23000,23.7556705
3300023026,Host-associated,Mammals,481198,47090,9288,50291,23.73108821
3300010038,Terrestrial,Soil,465829,5748,6354,11368,23.73070464
3300027831,Aquatic,Freshwater,462685,12402,2406,14299,23.71649825
3300026902,Terrestrial,Soil,474261,31477,5694,35060,23.71187191
3300027760,Aquatic,Freshwater,442159,65452,7220,70807,23.70817126
3300010312,Aquatic,Marine,421500,155972,20554,164139,23.69350769
3300022745,Aquatic,Freshwater,478083,5429,19236,20709,23.68948198
3300027678,Terrestrial,Soil,207185,4212,1932,5644,23.68389761
3300027222,Aquatic,Marine,468376,151880,23237,161117,23.67906976
3300025544,Terrestrial,Soil,238794,11891,767,12301,23.67507977
3300021356,Aquatic,Marine,425658,34837,18847,48516,23.66929852
3300025202,Aquatic,Marine,303490,109779,98730,157149,23.65232095
3300018047,Aquatic,Freshwater,476900,28348,841,28754,23.63971687
3300027366,Aquatic,Marine,459063,121417,14675,128430,23.63922805
3300002154,Aquatic,Marine,363344,13430,4437,17034,23.63619899
3300006844,Host-associated,Plants,466704,23949,3180,26470,23.63326136
3300027905,Terrestrial,Soil,302844,36629,6051,42076,23.62823523
3300025480,Aquatic,Freshwater,464874,180829,1070,181434,23.62664717
3300027691,Terrestrial,Soil,463391,6355,8199,14135,23.62477735
3300027808,Aquatic,Freshwater,376935,33353,8593,39048,23.61469292
3300021057,Terrestrial,Soil,447206,27168,3358,29028,23.60427836
3300024506,Aquatic,Freshwater,464467,97560,26846,108027,23.60239989
3300025474,Terrestrial,Soil,297239,10713,964,11371,23.59968528
3300027747,Aquatic,Freshwater,440839,66801,4095,69410,23.54376107
3300016445,Terrestrial,Soil,439034,7137,2973,9553,23.54069035
3300009840,Terrestrial,Soil,457545,7344,5916,12583,23.53574984
3300027525,Aquatic,Marine,433012,73543,16062,79400,23.52710561
3300025788,Aquatic,Freshwater,432471,118802,5476,122096,23.52474736
3300026843,Terrestrial,Soil,470810,11967,8005,18352,23.51419874
3300027884,Terrestrial,Soil,466384,13547,3242,16197,23.51359837
3300025653,Aquatic,Marine,450394,32183,6372,36371,23.51349133
3300027859,Aquatic,Marine,444898,14371,15357,19989,23.51104391
3300020084,Aquatic,Freshwater,446946,116137,6872,120558,23.49768986
3300027746,Aquatic,Freshwater,457640,100261,7530,105470,23.48359794
3300018043,Aquatic,Freshwater,473272,19692,961,20095,23.47594228
3300027723,Aquatic,Freshwater,281694,7903,1850,9397,23.46378547
3300018088,Terrestrial,Soil,478921,5912,776,6402,23.45995225
3300025205,Aquatic,Marine,331873,132286,81485,142478,23.43133803
3300010046,Terrestrial,Soil,459776,7242,2968,9802,23.41813829
3300012987,Terrestrial,Soil,455880,14220,20806,28252,23.40166511
3300025771,Aquatic,Marine,455109,47240,7303,52365,23.3936959
3300025439,Aquatic,Freshwater,456401,167744,909,168165,23.38606956
3300006045,Host-associated,Arthropoda,458579,1602,714,2068,23.37308423
3300026136,Aquatic,Marine,450488,18046,8397,23472,23.37205709
3300012958,Terrestrial,Soil,396798,8676,5729,13097,23.36336794
3300021368,Aquatic,Marine,447598,42295,21853,56665,23.35952176
3300027646,Terrestrial,Soil,464873,3279,2183,5204,23.31925237
3300027978,Aquatic,Marine,471451,13637,3611,16175,23.31528805
3300020083,Aquatic,Freshwater,451624,103349,5873,107142,23.29179511
3300025698,Aquatic,Non-marine Saline and Alkaline,474337,95342,4682,96702,23.27931474
3300027904,Host-associated,Arthropoda,360742,5089,558,5453,23.27832093
3300010049,Host-associated,Arthropoda,467254,2561,1624,3990,23.27055307
3300017960,Aquatic,Non-marine Saline and Alkaline,451161,36467,19935,37996,23.26849564
3300011118,Aquatic,Marine,441591,9082,1476,10441,23.25244586
3300027883,Aquatic,Marine,427334,13465,7436,20041,23.25129091
3300025927,Host-associated,Plants,466858,16277,8990,23111,23.24249269
3300010047,Terrestrial,Soil,453219,5588,2655,7875,23.24232191
3300027552,Host-associated,Plants,153448,8170,5330,12052,23.23450791
3300010373,Terrestrial,Soil,457704,30639,10882,37304,23.208824
3300011404,Host-associated,Fungi,485033,28789,6568,32736,23.20556145
3300027225,Aquatic,Marine,459299,135675,17747,142920,23.19746851
3300017417,Host-associated,Plants,460300,13951,55139,60978,23.18483282
3300017975,Terrestrial,Soil,477877,2786,939,3333,23.14148753
3300023048,Terrestrial,Plant litter,474591,4041,2745,5963,23.09606674
3300026166,Aquatic,Marine,442204,11574,6905,14039,23.08614357
3300025223,Host-associated,Plants,348288,20498,11058,28007,23.05000383
3300027313,Terrestrial,Soil,193775,8020,459,8317,23.0497452
3300021379,Aquatic,Marine,449280,39679,15947,50837,23.03200108
3300017944,Terrestrial,Soil,477495,1738,750,2171,23.02124754
3300021335,Aquatic,Marine,437870,41797,11756,47653,23.01944313
3300027867,Terrestrial,Soil,471666,4646,2426,6587,23.01489139
3300025421,Aquatic,Freshwater,439471,55438,4371,58908,23.00095798
3300022227,Aquatic,Marine,440546,213455,22370,217923,22.99632183
3300018432,Terrestrial,Soil,464774,2435,5722,7310,22.97694913
3300024515,Aquatic,Freshwater,458124,86364,17828,89644,22.96791242
3300027750,Host-associated,Plants,478002,19216,29500,32690,22.96075137
3300018920,Terrestrial,Soil,464719,2350,5139,6495,22.9486674
3300014838,Terrestrial,Soil,477007,16375,974,16908,22.93387615
3300027762,Aquatic,Freshwater,466512,9370,3918,12237,22.93332779
3300018042,Aquatic,Freshwater,473144,25499,1704,26882,22.9218153
